equipment_id,timestamp,session_duration,queue_wait_minutes,occupancy_label,reservation_status,day_of_week,hour_of_day
1,2024-02-01 06:10:00,25,0,low,completed,Thursday,6
2,2024-02-01 07:15:00,30,5,medium,completed,Thursday,7
3,2024-02-01 08:05:00,40,10,high,completed,Thursday,8
1,2024-02-01 09:20:00,20,2,low,completed,Thursday,9
4,2024-02-01 10:10:00,35,3,medium,completed,Thursday,10
2,2024-02-01 17:05:00,45,12,high,completed,Thursday,17
3,2024-02-01 18:15:00,50,15,high,completed,Thursday,18
1,2024-02-01 19:30:00,35,7,medium,completed,Thursday,19
4,2024-02-01 20:00:00,25,3,medium,completed,Thursday,20
2,2024-02-02 06:30:00,30,1,low,completed,Friday,6
3,2024-02-02 07:45:00,35,4,medium,completed,Friday,7
1,2024-02-02 08:10:00,40,9,high,completed,Friday,8
4,2024-02-02 17:00:00,50,14,high,completed,Friday,17
2,2024-02-02 18:30:00,45,10,high,completed,Friday,18
3,2024-02-02 19:10:00,30,6,medium,completed,Friday,19
1,2024-02-02 20:05:00,25,2,low,completed,Friday,20
4,2024-02-03 09:15:00,35,5,medium,completed,Saturday,9
2,2024-02-03 10:30:00,40,7,medium,completed,Saturday,10
3,2024-02-03 11:45:00,45,8,high,completed,Saturday,11
1,2024-02-03 17:20:00,50,15,high,completed,Saturday,17
4,2024-02-03 18:35:00,45,12,high,completed,Saturday,18
